product_id,category,brand,product_name,product_url
37,에센스/세럼/앰플,파티온,파티온 노스카나인 트러블 세럼 100ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242226&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=37
38,에센스/세럼/앰플,아이오페,[1월 올영픽 한정기획] 아이오페 PDRN 카페인 샷 30ml 리필 기획 (+30ml 리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242341&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=38
39,에센스/세럼/앰플,넘버즈인,[모공+피부결] 넘버즈인 3번 보들보들 결 세럼 80ml 기획(+3번 결 세럼팩),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182627&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=39
40,에센스/세럼/앰플,이니스프리,[1월올영픽/키링증정] 이니스프리 레티놀 피디알엔 스킨부스터 앰플 25ml 기획(+20ml+시카앰플 5ml+뚱시바키캡),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243150&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=40
41,에센스/세럼/앰플,VT,[모공흡수] VT 리들샷 300 에센스 30ml 기획 (+리들샷 300 파우치 1ml*3ea),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210068&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=41
42,에센스/세럼/앰플,아누아,[1월 올영픽/단독기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+1ml*5ea),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243623&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=42
43,에센스/세럼/앰플,션리,[즉각쿨링/SOS진정세럼] 션리 다시마 그리너리 세럼35ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233336&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=43
44,에센스/세럼/앰플,디어클레어스,[3분순삭진정/EGF최대함량] 클레어스 EGF 미드나잇 블루드롭 진정앰플 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214675&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=44
45,에센스/세럼/앰플,퍼셀,[튼튼장벽강화] 퍼셀 20억/mL 픽셀바이옴 유산균 원액 20ml 기획 (+7ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208860&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=45
46,에센스/세럼/앰플,이니스프리,[1+1/키링증정] 이니스프리 비타민C 캡슐 세럼 30ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243151&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=46
47,에센스/세럼/앰플,퓨리토 서울,퓨리토서울 원더 릴리프 센텔라 세럼 언센티드 60ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237951&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=47
48,에센스/세럼/앰플,아비브,[차은우PICK] 아비브 어성초 테카 캡슐 세럼 카밍드롭 50+20ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219548&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=48
49,에센스/세럼/앰플,메디테라피,[피부결/흔적개선] 메디테라피 레티날 스킨 부스터 세럼 150ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231062&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=49
50,에센스/세럼/앰플,아누아,아누아 복숭아 70 나이아신아마이드 세럼 30ml 2입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211052&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=50
51,에센스/세럼/앰플,앰플엔,[재구매1위] 앰플엔 세라마이드샷 화잘먹 보습장벽앰플 100ml기획(+10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180410&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=51
52,에센스/세럼/앰플,에스트라,에스트라 에이시카365 흔적진정세럼 pH4.5 40ml 기획 (+세럼 20ml+크림 1ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222839&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=52
53,에센스/세럼/앰플,셀라딕스,[트러블/모공개선] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224494&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=53
54,에센스/세럼/앰플,아리얼,[NEW] 더 에센셜 바이 아리얼 히알루로닉 13 세럼 60ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235580&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=54
55,에센스/세럼/앰플,스킨푸드,[에바 PICK] 스킨푸드 로열허니 프로폴리스 인리치 에센스 리필기획(50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190691&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=55
56,에센스/세럼/앰플,아누아,[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226201&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=56
57,에센스/세럼/앰플,리쥬란,[1월 올영픽] 리쥬란 더마 힐러 포어 타이트닝 앰플 30ml [한정기획(+토너패드2매X6)/기획/단품],https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243084&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=57
58,에센스/세럼/앰플,메이크프렘,[NEW/신상] 메이크프렘 NMN 퍼밍 엑스퍼트 앰플 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000243732&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=58
