ingredient_code,ingredient_name,english_name,cas_no,old_name
1524,시트로넬라오일,Cymbopogon Nardus (Citronella) Oil,8000-29-1,
1494,스피어민트추출물,Mentha Viridis (Spearmint) Extract,90064-01-0,
1474,스테아릴알코올,Stearyl Alcohol,112-92-5,
1399,스위트아몬드오일,Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0 90320-37-9,
1363,슈가켈프추출물,Laminaria Saccharina Extract,90046-14-3 92128-82-0,
1299,소르빅애씨드,Sorbic Acid,110-44-1,
1149,소듐아세테이트,Sodium Acetate,127-09-3,
1122,소듐사카린,Sodium Saccharin,128-44-9 6155-57-3,
1038,소듐글루타메이트,Sodium Glutamate,142-47-2 16177-21-2 (L-) 32221-81-1 (DL-) 6106-04-3,
1033,소두구씨추출물,Elettaria Cardamomum Seed Extract,96507-91-4,
1032,소두구씨오일,Elettaria Cardamomum Seed Oil,8000-66-6,
1020,셀러리뿌리/씨추출물,Apium Graveolens (Celery) Root/Seed Extract,89997-35-3,
1019,센티드제라늄추출물,Pelargonium Graveolens Extract,90082-51-2,
1018,센티드제라늄왁스,Pelargonium Graveolens Wax,90082-51-2(generic),
1016,센티드제라늄꽃오일,Pelargonium Graveolens Flower Oil,8000-46-2,
1004,세틸팔미테이트,Cetyl Palmitate,540-10-3,
996,세틸알코올,Cetyl Alcohol,36653-82-4,
994,세틸아세테이트,Cetyl Acetate,629-70-9,
917,세린,Serine,56-45-1(L-Form),
834,생강추출물,Zingiber Officinale (Ginger) Root Extract,84696-15-1,
833,생강오일,Zingiber Officinale (Ginger) Root Oil,8007-08-7,
723,비터오렌지껍질추출물,Citrus Aurantium Amara (Bitter Orange) Peel Extract,72968-50-4,
721,비즈왁스,Beeswax,8006-40-4(White) 8012-89-3,
718,비에이치에이,BHA,25013-16-5,
659,블랙체리나무껍질추출물,Prunus Serotina (Wild Cherry) Bark Extract,8000-44-0 84604-07-9,
618,붉은토끼풀꽃추출물,Trifolium Pratense (Clover) Flower Extract,85085-25-2,
600,t-부틸알코올,t-Butyl Alcohol,75-65-0,
597,부틸아세테이트,Butyl Acetate,123-86-4,
595,부틸스테아레이트,Butyl Stearate,123-95-5,
543,보르네올,Borneol,507-70-0,
532,변성알코올,Alcohol Denat.,64-17-5,
525,벤질아세테이트,Benzyl Acetate,101-41-7 140-11-4,
521,벤질라우레이트,Benzyl Laurate,140-25-0,
519,벤즈알데하이드,Benzaldehyde,100-52-7,
510,벤조페논-2,Benzophenone-2,131-55-5,
508,벤조인나무수지추출물,Styrax Benzoin Resin Extract,84696-18-4 84929-79-3,
507,벤조인나무검,Styrax Benzoin Gum,9000-05-9 9000-72-0,
504,벤조구아나민,Benzoguanamine,91-76-9,
478,베타-카리오필렌,Beta-Caryophyllene,87-44-5,
471,베이잎오일,Pimenta Acris (Bay) Leaf Oil,8006-78-8,
420,발삼톨루수지,Myroxylon Balsamum (Balsam Tolu) Resin,8011-89-0 9000-64-0,
416,발린,Valine,516-06-3 (DL-) 640-68-6 (D-) 72-18-4 (L-),
375,바나나꽃수,Musa Sapientum (Banana) Flower Water,,
344,미리스틸알코올,Myristyl Alcohol,112-72-1,
312,물냉이추출물,Nasturtium Officinale Extract,,
311,물냉이꽃/잎추출물,Nasturtium Officinale Flower/Leaf Extract,84775-70-2,
293,몰약오일,Commiphora Myrrha Oil,8016-37-3,
279,목서꽃추출물,Osmanthus Fragrans Flower Extract,92347-21-2,
245,멘틸락테이트,Menthyl Lactate,59259-38-0,
243,멘톤글리세린아세탈,Menthone Glycerin Acetal,63187-91-7,
107,튜베로즈추출물,Polianthes Tuberosa Extract,94334-35-7,만향옥추출물
