건성,민감성,복합성,약건성,지성,트러블성,중성,product_id
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C43
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C45
5.0,5.0,5.0,,5.0,5.0,5.0,C47
5.0,5.0,5.0,5.0,5.0,5.0,,C48
5.0,5.0,5.0,,5.0,5.0,5.0,C49
5.0,5.0,5.0,5.0,5.0,5.0,,C51
5.0,5.0,5.0,,5.0,5.0,,C53
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C54
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C55
5.0,5.0,5.0,,5.0,5.0,5.0,C56
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C57
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C58
5.0,5.0,5.0,5.0,5.0,5.0,,C59
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C60
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C62
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C63
5.0,5.0,5.0,,5.0,5.0,5.0,C64
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C67
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C68
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C69
5.0,5.0,5.0,,5.0,5.0,5.0,C70
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C71
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C73
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C75
5.0,5.0,5.0,,5.0,5.0,5.0,C76
5.0,5.0,5.0,5.0,5.0,5.0,,C77
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C78
5.0,5.0,5.0,,5.0,5.0,5.0,C79
5.0,5.0,5.0,,5.0,5.0,5.0,C80
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C81
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C82
5.0,5.0,5.0,,5.0,5.0,,C83
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C84
