ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
버지니아풍년화추출물,10,0,0,1,5,4
로즈힙열매추출물,10,0,0,0,5,5
오카무라큰실말추출물,10,3,0,1,4,2
아틀라스시다나무껍질오일,10,6,0,0,3,1
라피노오스,10,1,1,1,3,4
소듐다이라우미도글루타미드라이신,10,3,1,0,5,1
하늘타리뿌리추출물,10,0,1,3,3,3
레몬껍질오일,10,0,0,4,4,2
꿀추출물,10,0,1,1,7,1
글루타민,10,0,0,1,4,5
아티초크잎추출물,10,2,1,0,2,5
클레리오일,10,0,0,0,6,4
올리고펩타이드-2,10,1,1,0,3,5
자작나무수액,10,1,0,4,1,4
아세틸헥사펩타이드-1,10,0,1,0,3,6
인삼추출물,10,0,2,1,6,1
맥아추출물,10,0,0,1,1,8
다마스크장미꽃추출물,10,0,2,0,6,2
흰서양송로추출물,10,0,3,0,2,5
라벤더꽃추출물,10,0,2,0,2,6
마그네슘클로라이드,9,0,0,1,7,1
개똥쑥추출물,9,1,1,3,1,3
알로에베라잎즙,9,2,0,0,6,1
보리지추출물,9,2,2,0,1,4
바이오사카라이드검-4,9,0,1,1,1,6
에칠아스코빌에텔,9,1,0,1,5,2
포도씨오일,9,0,0,0,4,5
데이지꽃추출물,9,0,2,0,5,2
고삼뿌리추출물,9,1,0,0,5,3
다이메틸아이소소바이드,9,0,0,0,8,1
폴릭애씨드,9,1,0,0,4,4
콜라겐아미노산,9,0,1,0,3,5
석류추출물,9,0,2,0,5,2
미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,9,2,0,1,0,6
사코신,9,2,0,0,3,4
돌콩배아추출물,9,1,0,0,2,6
폴스애플민트잎추출물,9,0,0,0,6,3
마이카,9,0,0,0,6,3
지치뿌리추출물,9,0,2,0,3,4
티트리잎수,9,0,0,3,4,2
헥실데칸올,9,0,0,1,5,3
캐스터오일/아이피디아이코폴리머,9,0,2,0,3,4
에스에이치-폴리펩타이드-3,9,0,0,0,6,3
유비퀴논,9,0,0,0,7,2
에틸헥실스테아레이트,9,4,0,1,0,4
에스에이치-올리고펩타이드-2,9,0,0,0,6,3
제비꽃꽃추출물,9,4,0,2,2,1
베타인살리실레이트,9,0,0,2,5,2
마이크로크리스탈린셀룰로오스,9,0,0,0,3,6
스피어민트잎오일,9,0,0,2,3,4
