ingredient,product_count,cat_에센스/세럼/앰플,ratio_에센스/세럼/앰플
포도씨추출물,3,3,1.0
인삼열매추출물,3,3,1.0
라이소레시틴,3,3,1.0
플로레틴,3,3,1.0
드럼스틱씨추출물,3,3,1.0
올리브나무잎추출물,3,3,1.0
쌀발효여과물,3,3,1.0
아세틸다이펩타이드-1세틸에스터,3,3,1.0
아스코빌테트라이소팔미테이트,3,3,1.0
리솔레시틴,3,3,1.0
징크옥사이드,3,3,1.0
코질메틸렌다이옥시신나메이트,3,3,1.0
캐스터오일/아이피디아이코폴리머,3,3,1.0
에스에이치-폴리펩타이드-62,3,3,1.0
호박가루,3,3,1.0
초피나무열매추출물,3,3,1.0
마이카,3,3,1.0
피이지-60 하이드로제네이티드캐스터오일,3,3,1.0
복사나무꽃추출물,3,3,1.0
에스알-,3,3,1.0
미리스토일펜타펩타이드-4,3,3,1.0
에스에이치-폴리펩타이드-11,3,3,1.0
돌콩펩타이드,3,3,1.0
에스에이치-폴리펩타이드-9,3,3,1.0
에스에이치-폴리펩타이드-16,3,3,1.0
틴옥사이드,3,3,1.0
트라이펩타이드-32,3,3,1.0
신선초추출물,3,3,1.0
소듐팔미토일사코시네이트,3,3,1.0
아텔로콜라겐,3,3,1.0
몰로키아잎추출물,3,3,1.0
우릭애씨드,2,2,1.0
갈로일펜타펩타이드-33,2,2,1.0
크레아틴,2,2,1.0
"비스-에톡시다이글라이콜사이클로헥산1,4-다이카복실레이트",2,2,1.0
카프릴로일다이펩타이드-17,2,2,1.0
카페오일트라이펩타이드-1,2,2,1.0
코질카복시다이펩타이드-23,2,2,1.0
팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레오닌,2,2,1.0
카퍼글루코네이트,2,2,1.0
트라이하이드록시스테아린,2,2,1.0
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,2,2,1.0
니코틴아마이드모노뉴클레오이드,2,2,1.0
헥사펩타이드-2,2,2,1.0
바이오티노일트라이펩타이드-1,2,2,1.0
마그네슘글루코네이트,2,2,1.0
글리세릴리놀리에이트,2,2,1.0
카페오일에스에이치-옥타펩타이드-4,2,2,1.0
칼슘글루코네이트,2,2,1.0
헥사펩타이드-11,2,2,1.0
펜타펩타이드-18,2,2,1.0
바실러스/폴릭애씨드/돌콩발효추출물,2,2,1.0
카페오일헥사펩타이드-65,2,2,1.0
에난티아 클로란타껍질추출물,2,2,1.0
소듐글리세로포스페이트,2,2,1.0
쌀겨오일,2,2,1.0
올리고펩타이드-3,2,2,1.0
포타슘마그네슘아스파테이트,2,2,1.0
만델릭애씨드,2,2,1.0
다이메티콘크로스폴리머,2,2,1.0
버지니아풍년화수,2,2,1.0
옥타펩타이드-7,2,2,1.0
동백나무씨오일,2,2,1.0
살비아추출물,2,2,1.0
산수유열매추출물,2,2,1.0
효모/띠뿌리발효추출물,2,2,1.0
효모/겨우살이발효추출물,2,2,1.0
쌀추출물,2,2,1.0
해마토코쿠스 플루비알리스오일,2,2,1.0
글라이코프로테인,2,2,1.0
냉초추출물,2,2,1.0
더위지기추출물,2,2,1.0
사코신,2,2,1.0
하이드록시프로필구아,2,2,1.0
파파야열매추출물,2,2,1.0
필리핀오렌지껍질오일,2,2,1.0
소듐콘드로이틴설페이트,2,2,1.0
쇠뜨기추출물,2,2,1.0
포타슘크로라이드,2,2,1.0
붉나무충영추출물,2,2,1.0
테레프탈릴리덴디캠퍼설포닉애씨드,2,2,1.0
세테아릴글루코사이드,2,2,1.0
아미노에탄설피닉애씨드,2,2,1.0
진흙버섯추출물,2,2,1.0
에칠헥실트리아존,2,2,1.0
하수오뿌리추출물,2,2,1.0
효모/구리발효물,2,2,1.0
효모/철발효물,2,2,1.0
효모/마그네슘발효물,2,2,1.0
아이리쉬모스가루,2,2,1.0
효모/실리콘발효물,2,2,1.0
효모/아연발효물,2,2,1.0
니코티노일트라이펩타이드-1,2,2,1.0
